"value","se","ci","lower","upper","variable","model"
0.0113206271688228,NA,0.95,4.49867760151904e-05,0.0343061157171904,"tau2_sd_index_intercept","poisBrms_OPHA_H2_continuous_OPHA_H2_continuous"
0.499488810049545,0.014846385178866,0.95,0.457940752364438,0.532542792685557,"r2 conditional","poisBrms_PYBI_H1_binary_PYBI_H1_binary"
0.499203496920193,0.0201796462004773,0.95,0.441563447774997,0.551031135550286,"r2 marginal","poisBrms_PYBI_H1_binary_PYBI_H1_binary"
1.44693980789034,NA,0.95,0.000520249194160584,4.67764759211306,"tau2_sd_index_intercept","poisBrms_PYBI_H1_binary_PYBI_H1_binary"
0.468326068141173,0.113083486587455,0.95,0.208076707152733,0.612647752798119,"r2 conditional","poisBrms_PYBI_H1_continuous_PYBI_H1_continuous"
0.459796392183547,0.131894554194128,0.95,0.178137688408795,0.619545145094695,"r2 marginal","poisBrms_PYBI_H1_continuous_PYBI_H1_continuous"
0.0892507314279362,NA,0.95,0.00016216926007224,0.271041715234011,"tau2_sd_index_intercept","poisBrms_PYBI_H1_continuous_PYBI_H1_continuous"
0.495783833001238,0.0297062582394084,0.95,0.41731773211889,0.576923641552239,"r2 conditional","poisBrms_BUCA_H1_binary_BUCA_H1_binary"
0.493831872494971,0.0407025159744271,0.95,0.367685512647094,0.596625618142664,"r2 marginal","poisBrms_BUCA_H1_binary_BUCA_H1_binary"
1.54657550989009,NA,0.95,0.00075848929355897,5.13658908275063,"tau2_sd_index_intercept","poisBrms_BUCA_H1_binary_BUCA_H1_binary"
0.190767439677566,0.0563230425575262,0.95,0.0919500525215592,0.301955887975283,"r2 conditional","poisBrms_BUCA_H1_continuous_BUCA_H1_continuous"
0.179121113905731,0.0563508084097286,0.95,0.07351709425264,0.285596585587022,"r2 marginal","poisBrms_BUCA_H1_continuous_BUCA_H1_continuous"
0.085586398003025,NA,0.95,0.000103482189011726,0.234680844380466,"tau2_sd_index_intercept","poisBrms_BUCA_H1_continuous_BUCA_H1_continuous"
0.491314646597467,0.0423217307222973,0.95,0.364904384922322,0.60312640606189,"r2 conditional","poisBrms_BUFA_H1_binary_BUFA_H1_binary"
0.488785697497882,0.0576183126517723,0.95,0.306889626225493,0.65019143875398,"r2 marginal","poisBrms_BUFA_H1_binary_BUFA_H1_binary"
1.59369444781602,NA,0.95,0.00113110328557429,5.49667179240477,"tau2_sd_index_intercept","poisBrms_BUFA_H1_binary_BUFA_H1_binary"
0.728446716247047,0.0686834941760356,0.95,0.558916548119997,0.826684220334622,"r2 conditional","poisBrms_BUFA_H1_continuous_BUFA_H1_continuous"
0.730457324496419,0.0703745830527435,0.95,0.561646990382555,0.82499294922897,"r2 marginal","poisBrms_BUFA_H1_continuous_BUFA_H1_continuous"
0.15803818677103,NA,0.95,0.00134846055934689,0.466096005495031,"tau2_sd_index_intercept","poisBrms_BUFA_H1_continuous_BUFA_H1_continuous"
0.935825607845971,0.00973992868578394,0.95,0.914102958174111,0.952240191749143,"r2 conditional","rsfBrms_OPHA_H1_binary_OPHA_H1_binary"
0.843798196513039,0.0109608272220963,0.95,0.818729327915879,0.86121314347568,"r2 marginal","rsfBrms_OPHA_H1_binary_OPHA_H1_binary"
0.0341371678993592,NA,0.95,0.0276876968808542,0.0407880492427,"tau2_sd_index_intercept","rsfBrms_OPHA_H1_binary_OPHA_H1_binary"
0.965933823231246,0.00441857840811846,0.95,0.957319707253845,0.974627018742849,"r2 conditional","rsfBrms_OPHA_H2_binary_OPHA_H2_binary"
